id,name,month,average,measurement_count,parameter,parameterId,displayName,unit
10771,Traralgon,2/1/2021,0.001194578,474,so2,9,SO₂,ppm
10771,Traralgon,2/1/2021,0.013776118,474,o3,10,O₃,ppm
10771,Traralgon,3/1/2021,16.23687266,534,pm10,1,PM10,µg/m³
10771,Traralgon,3/1/2021,5.424528986,552,pm25,2,PM2.5,µg/m³
10771,Traralgon,3/1/2021,0.004314779,521,no2,7,NO₂,ppm
10771,Traralgon,3/1/2021,0.099731286,521,co,8,CO,ppm
10771,Traralgon,3/1/2021,0.000635816,521,so2,9,SO₂,ppm
10771,Traralgon,3/1/2021,0.014639904,521,o3,10,O₃,ppm
10771,Traralgon,4/1/2021,16.28717172,297,pm10,1,PM10,µg/m³
10771,Traralgon,4/1/2021,8.397912458,297,pm25,2,PM2.5,µg/m³
10771,Traralgon,4/1/2021,0.006168539,267,no2,7,NO₂,ppm
10771,Traralgon,4/1/2021,0.167446809,282,co,8,CO,ppm
10771,Traralgon,4/1/2021,0.001423191,282,so2,9,SO₂,ppm
10771,Traralgon,4/1/2021,0.015155035,282,o3,10,O₃,ppm
10771,Traralgon,5/1/2021,16.30527778,180,pm10,1,PM10,µg/m³
10771,Traralgon,5/1/2021,9.225444444,180,pm25,2,PM2.5,µg/m³
10771,Traralgon,5/1/2021,0.00827027,37,no2,7,NO₂,ppm
10771,Traralgon,5/1/2021,0.221929825,171,co,8,CO,ppm
