name,months,year,co,no2,o3,pm10,pm25,so2,date,pm25_aqi,pm10_aqi,o3_aqi,no2_aqi,so2_aqi,co_aqi,overall_aqi
Traralgon,January,2020,622.9671858632997,12.350339042116532,47.805706433479074,47.22807958,26.98190037,2.240912137057196,2020-01-01,82.29670034892705,43.72970331481481,44.2645429939621,11.651263247279747,3.2013030529388518,,82.29670034892705
Traralgon,February,2020,158.40730586999197,8.41371285000446,33.77802016596769,16.82442177,6.64867121,2.4348572352101363,2020-02-01,27.702796708333334,15.578168305555556,31.27594459811823,7.937464952834397,3.4783674788716232,,31.27594459811823
Traralgon,March,2020,127.08429171767644,11.351874418666904,33.10633925225305,17.39536513,5.900118343,1.148463468367984,2020-03-01,24.583826429166667,16.106819564814813,30.65401782616023,10.7093154893084,1.6406620976685486,,30.65401782616023
Traralgon,April,2020,132.37942888373337,11.249089876862676,32.60551084143839,14.43779503,7.421554487,1.8187087311501735,2020-04-01,30.923143695833335,13.368328731481482,30.190287816146657,10.612348940436487,2.5981553302145337,,30.923143695833335
Traralgon,May,2020,439.3486518399215,16.02971854956723,23.5728398322477,14.8549429,10.83388979,1.4456054586419198,2020-05-01,45.14120745833334,13.754576759259258,21.8267035483775,15.122375990157765,2.0651506552027428,,45.14120745833334
Traralgon,June,2020,448.2060751628448,17.273942753189967,21.217728205585797,16.69076212,13.24616529,1.8724281703399652,2020-06-01,53.410390524034334,15.454409370370369,19.646044634801665,16.29617240866978,2.6748973861999503,,53.410390524034334
Traralgon,July,2020,352.7988427978049,17.13821592174534,28.372989738556257,13.93327674,8.519672447,2.0897928058356383,2020-07-01,35.49863519583334,12.901182166666667,26.271286794959497,16.16812822806164,2.9854182940509117,,35.49863519583334
Traralgon,August,2020,302.8600819759971,13.73361550771839,37.00818845364504,14.32686567,8.366208609,2.253146437048273,2020-08-01,34.859202537499996,13.26561636111111,34.26684116078245,12.95624104501735,3.218780624354676,,34.859202537499996
Traralgon,September,2020,227.09136742170077,12.299018616935845,39.12313090033015,16.70948276,6.502354892,2.6279676568216286,2020-09-01,27.093145383333333,15.471743296296296,36.225121204009405,11.60284775182627,3.754239509745184,,36.225121204009405
Traralgon,October,2020,190.20077780182032,8.380220427411437,41.386596234496295,14.3816242,4.984474522,1.3085327045596502,2020-10-01,20.76864384166667,13.316318703703702,38.32092243934842,7.9058683277466395,1.8693324350852145,,38.32092243934842
Traralgon,November,2020,154.42293773043633,7.995383952440438,41.11112840189167,21.69659864,6.445964215,2.279856086374587,2020-11-01,26.858184229166667,20.089443185185186,38.06585963138117,7.542815049472112,3.2569372662494103,,38.06585963138117
Traralgon,December,2020,116.15334735388596,6.697511522262871,34.56283537075043,16.56571936,5.018456261,3.441580049522619,2020-12-01,20.910234420833334,15.338629037037036,32.002625343287434,6.318407096474407,4.916542927889456,,32.002625343287434
Traralgon,January,2021,131.07098923351478,7.238940878914964,33.34949370928884,17.7751875,5.662765625,3.442100293120371,2021-01-01,23.594856770833335,16.458506944444444,30.879160841934116,6.829189508410344,4.917286133029101,,30.879160841934116
Traralgon,February,2021,119.79914614928173,7.628533540644238,29.50181422325332,17.66808383,4.994008439,3.414678881948781,2021-02-01,20.808368495833335,16.35933687962963,27.316494651160482,7.1967297553247525,4.878112688498259,,27.316494651160482
Traralgon,March,2021,124.63073618541983,8.857097429731416,31.35162808958686,16.23687266,5.424528986,1.817468150263228,2021-03-01,22.602204108333336,15.03414135185185,29.029285268135983,8.35575229219945,2.5963830718046115,,29.029285268135983
Traralgon,April,2021,209.2524814888017,12.66237527393593,32.454790755777644,16.28717172,8.397912458,4.068164868831979,2021-04-01,34.99130190833334,15.080714555555556,30.050732181275595,11.945637050882954,5.8116640983313985,,34.99130190833334
Traralgon,May,2021,277.33802080173103,16.976671843490674,31.35162808958686,16.30527778,9.225444444,1.817468150263228,2021-05-01,38.43935185000001,15.097479425925927,29.029285268135983,16.015728154236484,2.5963830718046115,,38.43935185000001
