id,name,hour,day,month,year,hod,dow,average,measurement_count,parameter,parameterId,displayName,unit,first_datetime,last_datetime
10869,Geelong South,,,2020-07-01,,,,17.78952797202797,572,pm10,1,PM10,µg/m³,2020-07-01T01:00:00Z,2020-08-01T00:00:00Z
10869,Geelong South,,,2020-07-01,,,,8.626233108108117,592,pm25,2,PM2.5,µg/m³,2020-07-01T01:00:00Z,2020-08-01T00:00:00Z
10869,Geelong South,,,2020-07-01,,,,0.008348920863309316,556,no2,7,NO₂,ppm,2020-07-01T01:00:00Z,2020-08-01T00:00:00Z
10869,Geelong South,,,2020-07-01,,,,0.20866906474820152,556,co,8,CO,ppm,2020-07-01T01:00:00Z,2020-08-01T00:00:00Z
10869,Geelong South,,,2020-07-01,,,,0.00033904847396768405,557,so2,9,SO₂,ppm,2020-07-01T01:00:00Z,2020-08-01T00:00:00Z
10869,Geelong South,,,2020-07-01,,,,0.0158354121863799,558,o3,10,O₃,ppm,2020-07-01T01:00:00Z,2020-08-01T00:00:00Z
10869,Geelong South,,,2020-08-01,,,,14.92599337748347,604,pm10,1,PM10,µg/m³,2020-08-01T01:00:00Z,2020-09-01T00:00:00Z
10869,Geelong South,,,2020-08-01,,,,5.411523972602737,584,pm25,2,PM2.5,µg/m³,2020-08-01T01:00:00Z,2020-09-01T00:00:00Z
10869,Geelong South,,,2020-08-01,,,,0.005634653979238721,578,no2,7,NO₂,ppm,2020-08-01T01:00:00Z,2020-09-01T00:00:00Z
10869,Geelong South,,,2020-08-01,,,,0.16545138888888888,576,co,8,CO,ppm,2020-08-01T01:00:00Z,2020-09-01T00:00:00Z
10869,Geelong South,,,2020-08-01,,,,0.00038868284228769543,577,so2,9,SO₂,ppm,2020-08-01T01:00:00Z,2020-09-01T00:00:00Z
10869,Geelong South,,,2020-08-01,,,,0.020810882352941113,578,o3,10,O₃,ppm,2020-08-01T01:00:00Z,2020-09-01T00:00:00Z
10869,Geelong South,,,2020-09-01,,,,18.5993377483444,604,pm10,1,PM10,µg/m³,2020-09-01T01:00:00Z,2020-10-01T00:00:00Z
10869,Geelong South,,,2020-09-01,,,,5.380280528052807,606,pm25,2,PM2.5,µg/m³,2020-09-01T01:00:00Z,2020-10-01T00:00:00Z
10869,Geelong South,,,2020-09-01,,,,0.004989982456140325,570,no2,7,NO₂,ppm,2020-09-01T01:00:00Z,2020-10-01T00:00:00Z
10869,Geelong South,,,2020-09-01,,,,0.1392631578947369,570,co,8,CO,ppm,2020-09-01T01:00:00Z,2020-10-01T00:00:00Z
10869,Geelong South,,,2020-09-01,,,,0.00044538596491228095,570,so2,9,SO₂,ppm,2020-09-01T01:00:00Z,2020-10-01T00:00:00Z
10869,Geelong South,,,2020-09-01,,,,0.021739687499999952,576,o3,10,O₃,ppm,2020-09-01T01:00:00Z,2020-10-01T00:00:00Z
10869,Geelong South,,,2020-10-01,,,,17.361176470588234,595,pm10,1,PM10,µg/m³,2020-10-01T01:00:00Z,2020-10-31T14:00:00Z
10869,Geelong South,,,2020-10-01,,,,4.848964968152863,628,pm25,2,PM2.5,µg/m³,2020-10-01T01:00:00Z,2020-10-31T14:00:00Z
10869,Geelong South,,,2020-10-01,,,,0.004116750418760431,597,no2,7,NO₂,ppm,2020-10-01T01:00:00Z,2020-10-31T14:00:00Z
10869,Geelong South,,,2020-10-01,,,,0.12172529313232845,597,co,8,CO,ppm,2020-10-01T01:00:00Z,2020-10-31T14:00:00Z
10869,Geelong South,,,2020-10-01,,,,0.0002718760469011725,597,so2,9,SO₂,ppm,2020-10-01T01:00:00Z,2020-10-31T14:00:00Z
10869,Geelong South,,,2020-10-01,,,,0.02133036850921266,597,o3,10,O₃,ppm,2020-10-01T01:00:00Z,2020-10-31T14:00:00Z
10869,Geelong South,,,2020-11-01,,,,23.633959044368613,586,pm10,1,PM10,µg/m³,2020-11-01T06:00:00Z,2020-12-01T00:00:00Z
10869,Geelong South,,,2020-11-01,,,,6.42941489361702,564,pm25,2,PM2.5,µg/m³,2020-11-01T06:00:00Z,2020-12-01T00:00:00Z
10869,Geelong South,,,2020-11-01,,,,0.004509500891265556,561,no2,7,NO₂,ppm,2020-11-01T06:00:00Z,2020-12-01T00:00:00Z
